"comparison_name","analysis_label","dataset_key","Class","Count"
"RT0_ZT6","Raw","Raw","Weak",0
"RT0_ZT6","Raw","Raw","Strong",3
"RT0_ZT6","Raw","Raw","Std",22
"RT0_ZT6","Raw","Raw","HBFSS",34
"RT0_ZT6","Lead_NormEVS","Lead","Weak",1
"RT0_ZT6","Lead_NormEVS","Lead","Strong",1
"RT0_ZT6","Lead_NormEVS","Lead","Std",3
"RT0_ZT6","Lead_NormEVS","Lead","HBFSS",15
"RT0_ZT6","Rem_NormEVS","Rem","Weak",59
"RT0_ZT6","Rem_NormEVS","Rem","Strong",2
"RT0_ZT6","Rem_NormEVS","Rem","Std",91
"RT0_ZT6","Rem_NormEVS","Rem","HBFSS",191
"RT0_ZT6","Lead_RawEVS","Lead","Weak",1
"RT0_ZT6","Lead_RawEVS","Lead","Strong",0
"RT0_ZT6","Lead_RawEVS","Lead","Std",3
"RT0_ZT6","Lead_RawEVS","Lead","HBFSS",9
"RT0_ZT6","Rem_RawEVS","Rem","Weak",45
"RT0_ZT6","Rem_RawEVS","Rem","Strong",3
"RT0_ZT6","Rem_RawEVS","Rem","Std",63
"RT0_ZT6","Rem_RawEVS","Rem","HBFSS",160
"RT2_ZT8","Raw","Raw","Weak",6
"RT2_ZT8","Raw","Raw","Strong",0
"RT2_ZT8","Raw","Raw","Std",0
"RT2_ZT8","Raw","Raw","HBFSS",8
"RT2_ZT8","Lead_NormEVS","Lead","Weak",3
"RT2_ZT8","Lead_NormEVS","Lead","Strong",0
"RT2_ZT8","Lead_NormEVS","Lead","Std",0
"RT2_ZT8","Lead_NormEVS","Lead","HBFSS",3
"RT2_ZT8","Rem_NormEVS","Rem","Weak",12
"RT2_ZT8","Rem_NormEVS","Rem","Strong",0
"RT2_ZT8","Rem_NormEVS","Rem","Std",1
"RT2_ZT8","Rem_NormEVS","Rem","HBFSS",21
"RT2_ZT8","Lead_RawEVS","Lead","Weak",6
"RT2_ZT8","Lead_RawEVS","Lead","Strong",0
"RT2_ZT8","Lead_RawEVS","Lead","Std",0
"RT2_ZT8","Lead_RawEVS","Lead","HBFSS",6
"RT2_ZT8","Rem_RawEVS","Rem","Weak",5
"RT2_ZT8","Rem_RawEVS","Rem","Strong",0
"RT2_ZT8","Rem_RawEVS","Rem","Std",0
"RT2_ZT8","Rem_RawEVS","Rem","HBFSS",10
"RT4_ZT10","Raw","Raw","Weak",273
"RT4_ZT10","Raw","Raw","Strong",65
"RT4_ZT10","Raw","Raw","Std",825
"RT4_ZT10","Raw","Raw","HBFSS",1100
"RT4_ZT10","Lead_NormEVS","Lead","Weak",67
"RT4_ZT10","Lead_NormEVS","Lead","Strong",24
"RT4_ZT10","Lead_NormEVS","Lead","Std",286
"RT4_ZT10","Lead_NormEVS","Lead","HBFSS",320
"RT4_ZT10","Rem_NormEVS","Rem","Weak",253
"RT4_ZT10","Rem_NormEVS","Rem","Strong",91
"RT4_ZT10","Rem_NormEVS","Rem","Std",809
"RT4_ZT10","Rem_NormEVS","Rem","HBFSS",1062
"RT4_ZT10","Lead_RawEVS","Lead","Weak",58
"RT4_ZT10","Lead_RawEVS","Lead","Strong",21
"RT4_ZT10","Lead_RawEVS","Lead","Std",295
"RT4_ZT10","Lead_RawEVS","Lead","HBFSS",302
"RT4_ZT10","Rem_RawEVS","Rem","Weak",279
"RT4_ZT10","Rem_RawEVS","Rem","Strong",87
"RT4_ZT10","Rem_RawEVS","Rem","Std",813
"RT4_ZT10","Rem_RawEVS","Rem","HBFSS",1092
"RT8_ZT14","Raw","Raw","Weak",47
"RT8_ZT14","Raw","Raw","Strong",0
"RT8_ZT14","Raw","Raw","Std",7
"RT8_ZT14","Raw","Raw","HBFSS",76
"RT8_ZT14","Lead_NormEVS","Lead","Weak",4
"RT8_ZT14","Lead_NormEVS","Lead","Strong",0
"RT8_ZT14","Lead_NormEVS","Lead","Std",3
"RT8_ZT14","Lead_NormEVS","Lead","HBFSS",12
"RT8_ZT14","Rem_NormEVS","Rem","Weak",74
"RT8_ZT14","Rem_NormEVS","Rem","Strong",0
"RT8_ZT14","Rem_NormEVS","Rem","Std",42
"RT8_ZT14","Rem_NormEVS","Rem","HBFSS",138
"RT8_ZT14","Lead_RawEVS","Lead","Weak",1
"RT8_ZT14","Lead_RawEVS","Lead","Strong",0
"RT8_ZT14","Lead_RawEVS","Lead","Std",4
"RT8_ZT14","Lead_RawEVS","Lead","HBFSS",5
"RT8_ZT14","Rem_RawEVS","Rem","Weak",37
"RT8_ZT14","Rem_RawEVS","Rem","Strong",0
"RT8_ZT14","Rem_RawEVS","Rem","Std",22
"RT8_ZT14","Rem_RawEVS","Rem","HBFSS",88
